code,year,data_level,cpi,ppp2021
AGO,2000,national,0.006580984962796514,203.688736
AGO,2008,national,0.1406364504487321,203.688736
AGO,2018,national,0.5716060305278444,203.688736
ALB,1996,national,0.372476609889224,50.77230453
ALB,2002,national,0.6539547854126867,50.77230453
ALB,2005,national,0.7027199688912623,50.77230453
ALB,2008,national,0.7643802976429334,50.77230453
ALB,2012,national,0.8548523629717769,50.77230453
ALB,2014,national,0.8855842310046258,50.77230453
ALB,2015,national,0.9023764353784515,50.77230453
ALB,2016,national,0.9138856671077075,50.77230453
ALB,2017,national,0.9320414744439088,50.77230453
ALB,2018,national,0.9509437901277593,50.77230453
ALB,2019,national,0.9643624615381954,50.77230453
ALB,2020,national,0.9799937122477613,50.77230453
ARE,2013,national,0.9228290194159912,2.727601767
ARE,2018,national,1.0394744115666072,2.727601767
ARG,1980,national,0.012632220455265023,42.98624039
ARG,1986,national,0.003237793431530178,42.98624039
ARG,1987,national,0.007490139479175945,42.98624039
ARG,1991,national,75.6890040888488,42.98624039
ARG,1992,national,0.008930437792496334,42.98624039
ARG,1993,national,0.009722700907848238,42.98624039
ARG,1994,national,0.010081783859509478,42.98624039
ARG,1995,national,0.01030047224979156,42.98624039
ARG,1996,national,0.010321554723812826,42.98624039
ARG,1997,national,0.010380481662792825,42.98624039
ARG,1998,national,0.010495305639740405,42.98624039
ARG,1999,national,0.01028230100256925,42.98624039
ARG,2000,national,0.010210462309164744,42.98624039
ARG,2001,national,0.010094974498335619,42.98624039
ARG,2002,national,0.013980291108795012,42.98624039
ARG,2003,national,0.014530157692870757,42.98624039
ARG,2004,national,0.015338319197019262,42.98624039
ARG,2005,national,0.016989969540759906,42.98624039
ARG,2006,national,0.018748284514796838,42.98624039
ARG,2007,national,0.022953762148995697,42.98624039
ARG,2008,national,0.02880711702866099,42.98624039
ARG,2009,national,0.03283107429451977,42.98624039
ARG,2010,national,0.04090078285106348,42.98624039
ARG,2011,national,0.04976585538126164,42.98624039
ARG,2012,national,0.062377050547999545,42.98624039
ARG,2013,national,0.07902740761971996,42.98624039
ARG,2014,national,0.11091442904063702,42.98624039
ARG,2016,national,0.1966193953254512,42.98624039
ARG,2017,national,0.24186265950368102,42.98624039
ARG,2018,national,0.3423604930821795,42.98624039
ARG,2019,national,0.5240793539337844,42.98624039
ARG,2020,national,0.7231423798781192,42.98624039
ARG,2021,national,1.0965290039461233,42.98624039
ARG,2022,national,2.029257402596794,42.98624039
ARG,2023,national,5.100625352976668,42.98624039
ARG,2024,national,14.647639550906396,42.98624039
ARM,1996,national,0.375090825208472,164.2264862
ARM,1999,national,0.46753871933216673,164.2264862
ARM,2001,national,0.47843306221607085,164.2264862
ARM,2002,national,0.48350468305826894,164.2264862
ARM,2003,national,0.5063336189434299,164.2264862
ARM,2004,national,0.5415626389327612,164.2264862
ARM,2005,national,0.5450348759000719,164.2264862
ARM,2006,national,0.5607773494533719,164.2264862
ARM,2007,national,0.5855223664936129,164.2264862
ARM,2008,national,0.6379263748783326,164.2264862
ARM,2009,national,0.6596545195810601,164.2264862
ARM,2010,national,0.7136005829364137,164.2264862
ARM,2011,national,0.768191092863134,164.2264862
ARM,2012,national,0.7878415683881562,164.2264862
ARM,2013,national,0.8334549598975332,164.2264862
ARM,2014,national,0.858302820527646,164.2264862
ARM,2015,national,0.8903320383425294,164.2264862
ARM,2016,national,0.8778352627531224,164.2264862
ARM,2017,national,0.8863463456335138,164.2264862
